SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
738505,6925869600.0,431694600.0,62795310000.0,30.745293,0.09468661,74.34192,39.64164,70155290000.0,0.024,1.7735583
738580,4712571400.0,611327500.0,71608870000.0,33.57988,0.06547319,74.11665,40.259857,76935480000.0,0.024,1.9954686
738623,3754706000.0,1820710300.0,71453240000.0,25.80583,0.093562365,88.36366,44.775303,77035170000.0,0.024,2.0715454
738688,5242863600.0,946277300.0,68635470000.0,31.20339,0.0949979,77.65624,40.938805,74827270000.0,0.024,2.2738893
738723,6160194600.0,956934460.0,56716014000.0,28.141905,0.080954336,73.12256,38.629944,63834825000.0,0.024,3.0934722
738758,1642453500.0,154255140.0,12832398000.0,12.142695,0.050270338,50.974403,28.452347,14629107000.0,0.024,1.0692638
738803,3644356900.0,352898850.0,68614152000.0,39.94909,0.014700201,64.27035,37.133675,72614030000.0,0.024,1.1342992
738919,5497837000.0,1288069500.0,65665710000.0,32.057903,0.09211052,79.70046,40.378334,72455640000.0,0.024,2.0869405
738960,4942909400.0,965511800.0,67775623000.0,32.443607,0.07429249,74.88724,39.832973,73687260000.0,0.024,1.4850768
739002,6195306000.0,441455550.0,64368902000.0,36.047905,0.049354754,68.8071,37.48077,71007960000.0,0.024,2.0828424
739116,4436109300.0,849734850.0,74850890000.0,31.842646,0.08662581,79.7286,42.416298,80142020000.0,0.024,1.536437
739216,7537296400.0,493479500.0,55234530000.0,37.541187,0.095012665,64.177765,34.120552,63268344000.0,0.024,1.9188427
739275,5531412500.0,328664770.0,64967385000.0,39.089947,0.045667388,63.888443,36.402782,70829860000.0,0.024,1.5046425
739465,4120659700.0,1482197100.0,61140950000.0,26.186357,0.3213554,83.95084,42.856354,66745770000.0,0.024,2.2309244
739553,5524534000.0,431153100.0,72231410000.0,35.44234,0.07489453,71.0777,38.583046,78191070000.0,0.024,1.1531208
739651,4736740000.0,403914080.0,70588850000.0,33.195095,0.062381558,70.60546,39.906258,75733160000.0,0.024,1.1643914
739682,3091297300.0,2078600200.0,69068350000.0,28.687126,0.103510685,91.99694,44.906155,74244220000.0,0.024,1.955887
739706,5337655000.0,407178240.0,70971810000.0,35.582806,0.04265674,72.603195,39.369705,76718555000.0,0.024,2.0120077
739747,7852651500.0,1020238100.0,52337816000.0,25.568459,0.21004748,75.18378,39.48822,61210706000.0,0.024,2.7206554
739784,4252908000.0,1524654100.0,66423460000.0,29.027946,0.07497179,80.19473,41.19172,72207820000.0,0.024,2.158276
739821,5445032000.0,624458700.0,70219960000.0,34.0778,0.05600325,71.462875,39.22364,76291850000.0,0.024,2.566909
739953,4468335000.0,457945280.0,75890880000.0,37.28842,0.03886344,74.19672,39.641384,80821120000.0,0.024,1.1291928
740050,5652126700.0,805678460.0,69131420000.0,29.922905,0.03510063,80.70708,41.43208,75594550000.0,0.024,1.4867564
740193,4085530400.0,497491000.0,76402700000.0,36.561234,0.03434613,72.2219,39.648712,80990110000.0,0.024,1.1340958
740318,788057660.0,216223660.0,22014861000.0,14.583354,0.017166637,58.731564,34.538055,23020810000.0,0.024,0.772837
740408,4658737700.0,292438800.0,73649370000.0,44.602745,0.028893856,67.27785,35.887413,78602300000.0,0.024,1.6440247
740502,7319188000.0,922230300.0,58801430000.0,28.303185,0.21604729,74.62479,39.528095,67047420000.0,0.024,2.19841
740535,5685041700.0,395021100.0,61112360000.0,36.85364,0.14815369,68.45103,38.401974,67192426000.0,0.024,0.95640856
740642,6628364000.0,882058050.0,61026144000.0,30.661396,0.21685988,75.207,39.236862,68537876000.0,0.024,2.4873016
740692,6743506400.0,1118420100.0,58117186000.0,31.983639,0.1247325,74.05915,37.895885,65983615000.0,0.024,3.2113993
740745,1268121600.0,289030900.0,41968804000.0,26.859276,0.019536497,63.92916,33.8779,43527780000.0,0.024,1.0109923
740746,1326620500.0,217215060.0,19095458000.0,14.37678,0.05279331,55.689083,32.153694,20639293000.0,0.024,0.5710752
740839,8109240300.0,689542100.0,56733254000.0,26.079464,0.19784634,76.02696,40.649704,65532040000.0,0.024,2.1565921
740871,5772057600.0,1747209900.0,56299480000.0,25.068022,0.18331374,79.03968,41.281445,63820444000.0,0.024,2.3749597
740889,2259222000.0,231161150.0,41937500000.0,26.742298,0.031169549,64.438194,34.26819,44429140000.0,0.024,0.67052865
740962,3334839600.0,782062000.0,37779366000.0,23.124514,0.21028917,70.848404,34.686317,41896268000.0,0.024,1.3733356
740963,796831940.0,181968060.0,25723329000.0,20.003199,0.039859913,55.36784,30.204731,26702130000.0,0.024,0.8870433
740981,4085876000.0,654308200.0,76123190000.0,31.603016,0.024132175,77.87955,41.83697,80867660000.0,0.024,1.5035926
741047,6852808700.0,1011808200.0,58379900000.0,23.081068,0.316327,81.821594,42.649048,66244518000.0,0.024,3.4827704
741146,671976060.0,151564020.0,11120867000.0,8.788613,0.014685147,54.736492,34.03055,11945754000.0,0.024,0.67458254
741271,3366679800.0,223293600.0,46251260000.0,31.186117,0.03580364,65.68205,35.431843,49842440000.0,0.024,0.99641454
741347,3940857300.0,333777920.0,66642616000.0,36.610073,0.02806579,68.99794,37.697834,70919100000.0,0.024,1.2373073
741390,9344646000.0,550934850.0,45847430000.0,28.53365,0.2568907,69.22262,35.99209,55743013000.0,0.024,2.3686373
741518,5804223500.0,838340030.0,62046626000.0,32.16035,0.1653819,73.57163,38.36396,68690956000.0,0.024,2.430013
741562,5770879000.0,539957400.0,67468890000.0,33.664303,0.22309318,74.60335,39.393925,73783440000.0,0.024,2.137503
741597,7224378400.0,239462220.0,59553290000.0,36.706833,0.04347566,67.679115,35.98594,67019334000.0,0.024,1.3327961
741639,4914605000.0,319006240.0,65724686000.0,40.116688,0.021179682,65.76922,36.054314,70961050000.0,0.024,1.3068554
741740,5369151000.0,454207580.0,69555220000.0,32.773407,0.05883861,73.24802,39.59224,75382550000.0,0.024,1.8437257
741782,3434977000.0,198609440.0,41948844000.0,35.28774,0.033705134,55.564373,30.701544,45583757000.0,0.024,1.2949162
741855,5867876400.0,404082020.0,66151210000.0,40.0314,0.047723077,63.90174,35.2574,72426410000.0,0.024,1.7160106
741893,8351789000.0,1358958300.0,49977426000.0,29.104,0.1206437,75.987144,36.759975,59694680000.0,0.024,1.967477
741972,4108990200.0,272478750.0,43691680000.0,28.999657,0.09813751,63.209583,33.43133,48074457000.0,0.024,1.4939432
742062,4926211600.0,1430483200.0,61012990000.0,25.655584,0.22823389,84.92466,43.00608,67370920000.0,0.024,2.1992764
742088,4365795300.0,781307650.0,70638760000.0,33.65696,0.06896217,72.1476,39.216244,75788804000.0,0.024,1.7853384
742130,4642327000.0,260321540.0,36566503000.0,25.529924,0.10018677,61.095142,32.540916,41469153000.0,0.024,0.95623213
742167,5231888400.0,1366726000.0,62982246000.0,32.130577,0.1735617,77.06536,39.309982,69583550000.0,0.024,1.7906277
