SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
336082,13532070000.0,449436540.0,90168910000.0,19.924788,0.71063805,106.18767,68.02092,104151880000.0,2.103,1.8188239
336169,11939491000.0,716203000.0,90263290000.0,22.567833,0.46566108,102.09281,58.52893,102920840000.0,2.103,2.0291543
336275,7963076000.0,506082560.0,92934950000.0,24.438457,0.34054506,97.83513,60.073902,101405750000.0,2.103,1.0266039
336419,12255387000.0,427072320.0,94173676000.0,23.779995,0.36425608,100.93745,64.640396,106856130000.0,2.103,3.4867895
336513,10235887000.0,509837440.0,92275650000.0,23.107605,0.6592418,98.19128,61.928738,103023180000.0,2.103,1.3508292
336654,14503950000.0,980031800.0,92934040000.0,15.235639,1.9964037,125.48764,79.35777,108420686000.0,2.103,2.7050393
336655,258764380.0,133903230.0,800862140.0,0.7993992,0.27000868,58.401657,35.067837,1193529900.0,2.103,0.53041995
336693,12222982000.0,838302200.0,105946120000.0,21.632929,0.65351224,108.86665,64.7119,119009850000.0,2.103,2.6702342
336767,11164087000.0,889997950.0,86958195000.0,19.054068,0.8891964,106.4167,63.73166,99014640000.0,2.103,1.1955063
336845,13012491000.0,1391129500.0,92923600000.0,16.755093,1.6118321,120.27661,71.63854,107329870000.0,2.103,2.3645167
336923,11890427000.0,2164811500.0,97334920000.0,16.786242,1.883708,128.79745,70.9334,111397230000.0,2.103,1.1019953
336985,13889437000.0,1360545000.0,93376900000.0,18.023094,1.5896416,113.9517,65.48134,108629650000.0,2.103,1.6502749
337041,8649980000.0,363541570.0,68520673000.0,16.757683,0.51622623,100.17884,63.89099,77534200000.0,2.103,3.7813408
337042,1672110300.0,148230670.0,17251887000.0,9.626941,0.105918474,65.87938,39.483845,19072227000.0,2.103,1.356129
337278,12823175000.0,2085771100.0,97581310000.0,18.23831,1.4747256,119.74863,67.52351,112494000000.0,2.103,1.7131093
337334,7973321700.0,352032770.0,62794850000.0,17.610598,0.5052403,93.4402,56.65496,71121660000.0,2.103,2.0541732
